DistanciaMinima|DistanciaMaxima|Clima|Medio|Puntuacion
0|2|broken clouds|Bici|90
0|2|clear sky|Bici|100
0|2|drizzle|Bici|10
0|2|drizzle rain|Bici|10
0|2|dust|Bici|10
0|2|extreme rain|Bici|0
0|2|few clouds|Bici|70
0|2|fog|Bici|20
0|2|freezing rain|Bici|10
0|2|haze|Bici|20
0|2|heavy intensity drizzle|Bici|10
0|2|heavy intensity drizzle rain|Bici|10
0|2|heavy intensity rain|Bici|10
0|2|heavy intensity shower rain|Bici|10
0|2|heavy shower rain and drizzle|Bici|10
0|2|heavy shower snow|Bici|0
0|2|heavy snow|Bici|0
0|2|heavy thunderstorm|Bici|0
0|2|light intensity drizzle|Bici|10
0|2|light intensity drizzle rain|Bici|10
0|2|light intensity shower rain|Bici|10
0|2|light rain|Bici|10
0|2|light rain and snow|Bici|0
0|2|light shower snow|Bici|0
0|2|light snow|Bici|0
0|2|light thunderstorm|Bici|10
0|2|mist|Bici|10
0|2|moderate rain|Bici|10
0|2|overcast clouds|Bici|40
0|2|ragged shower rain|Bici|10
0|2|ragged thunderstorm|Bici|10
0|2|rain|Bici|10
0|2|rain and snow|Bici|0
0|2|sand|Bici|10
0|2|"sand| dust whirls"|Bici|10
0|2|scattered clouds|Bici|50
0|2|shower drizzle|Bici|10
0|2|shower rain|Bici|10
0|2|shower rain and drizzle|Bici|10
0|2|shower sleet|Bici|10
0|2|shower snow|Bici|0
0|2|sleet|Bici|0
0|2|smoke|Bici|20
0|2|snow|Bici|0
0|2|squalls|Bici|0
0|2|thunderstorm|Bici|10
0|2|thunderstorm with drizzle|Bici|10
0|2|thunderstorm with heavy drizzle|Bici|10
0|2|thunderstorm with heavy rain|Bici|10
0|2|thunderstorm with light drizzle|Bici|10
0|2|thunderstorm with light rain|Bici|10
0|2|thunderstorm with rain|Bici|10
0|2|tornado|Bici|0
0|2|very heavy rain|Bici|10
0|2|volcanic ash|Bici|0
2|100|broken clouds|Bus|80
2|100|clear sky|Bus|80
2|100|drizzle|Bus|80
2|100|drizzle rain|Bus|80
2|100|dust|Bus|80
2|100|extreme rain|Bus|80
2|100|few clouds|Bus|80
2|100|fog|Bus|80
2|100|freezing rain|Bus|80
2|100|haze|Bus|80
2|100|heavy intensity drizzle|Bus|80
2|100|heavy intensity drizzle rain|Bus|80
2|100|heavy intensity rain|Bus|80
2|100|heavy intensity shower rain|Bus|80
2|100|heavy shower rain and drizzle|Bus|80
2|100|heavy shower snow|Bus|80
2|100|heavy snow|Bus|80
2|100|heavy thunderstorm|Bus|80
2|100|light intensity drizzle|Bus|80
2|100|light intensity drizzle rain|Bus|80
2|100|light intensity shower rain|Bus|80
2|100|light rain|Bus|80
2|100|light rain and snow|Bus|80
2|100|light shower snow|Bus|80
2|100|light snow|Bus|80
2|100|light thunderstorm|Bus|80
2|100|mist|Bus|80
2|100|moderate rain|Bus|80
2|100|overcast clouds|Bus|80
2|100|ragged shower rain|Bus|80
2|100|ragged thunderstorm|Bus|80
2|100|rain|Bus|80
2|100|rain and snow|Bus|80
2|100|sand|Bus|80
2|100|"sand| dust whirls"|Bus|80
2|100|scattered clouds|Bus|80
2|100|shower drizzle|Bus|80
2|100|shower rain|Bus|80
2|100|shower rain and drizzle|Bus|80
2|100|shower sleet|Bus|80
2|100|shower snow|Bus|80
2|100|sleet|Bus|80
2|100|smoke|Bus|80
2|100|snow|Bus|80
2|100|squalls|Bus|80
2|100|thunderstorm|Bus|80
2|100|thunderstorm with drizzle|Bus|80
2|100|thunderstorm with heavy drizzle|Bus|80
2|100|thunderstorm with heavy rain|Bus|80
2|100|thunderstorm with light drizzle|Bus|80
2|100|thunderstorm with light rain|Bus|80
2|100|thunderstorm with rain|Bus|80
2|100|tornado|Bus|80
2|100|very heavy rain|Bus|80
2|100|volcanic ash|Bus|80
3|100|broken clouds|Carro|90
3|100|clear sky|Carro|90
3|100|drizzle|Carro|90
3|100|drizzle rain|Carro|90
3|100|dust|Carro|90
3|100|extreme rain|Carro|90
3|100|few clouds|Carro|90
3|100|fog|Carro|90
3|100|freezing rain|Carro|90
3|100|haze|Carro|90
3|100|heavy intensity drizzle|Carro|90
3|100|heavy intensity drizzle rain|Carro|90
3|100|heavy intensity rain|Carro|90
3|100|heavy intensity shower rain|Carro|90
3|100|heavy shower rain and drizzle|Carro|90
3|100|heavy shower snow|Carro|90
3|100|heavy snow|Carro|90
3|100|heavy thunderstorm|Carro|90
3|100|light intensity drizzle|Carro|90
3|100|light intensity drizzle rain|Carro|90
3|100|light intensity shower rain|Carro|90
3|100|light rain|Carro|90
3|100|light rain and snow|Carro|90
3|100|light shower snow|Carro|90
3|100|light snow|Carro|90
3|100|light thunderstorm|Carro|90
3|100|mist|Carro|90
3|100|moderate rain|Carro|90
3|100|overcast clouds|Carro|90
3|100|ragged shower rain|Carro|90
3|100|ragged thunderstorm|Carro|90
3|100|rain|Carro|90
3|100|rain and snow|Carro|90
3|100|sand|Carro|90
3|100|"sand| dust whirls"|Carro|90
3|100|scattered clouds|Carro|90
3|100|shower drizzle|Carro|90
3|100|shower rain|Carro|90
3|100|shower rain and drizzle|Carro|90
3|100|shower sleet|Carro|90
3|100|shower snow|Carro|90
3|100|sleet|Carro|90
3|100|smoke|Carro|90
3|100|snow|Carro|90
3|100|squalls|Carro|90
3|100|thunderstorm|Carro|90
3|100|thunderstorm with drizzle|Carro|90
3|100|thunderstorm with heavy drizzle|Carro|90
3|100|thunderstorm with heavy rain|Carro|90
3|100|thunderstorm with light drizzle|Carro|90
3|100|thunderstorm with light rain|Carro|90
3|100|thunderstorm with rain|Carro|90
3|100|tornado|Carro|90
3|100|very heavy rain|Carro|90
3|100|volcanic ash|Carro|90
3|100|broken clouds|Moto|90
3|100|clear sky|Moto|100
3|100|drizzle|Moto|10
3|100|drizzle rain|Moto|10
3|100|dust|Moto|10
3|100|extreme rain|Moto|0
3|100|few clouds|Moto|70
3|100|fog|Moto|20
3|100|freezing rain|Moto|10
3|100|haze|Moto|20
3|100|heavy intensity drizzle|Moto|10
3|100|heavy intensity drizzle rain|Moto|10
3|100|heavy intensity rain|Moto|10
3|100|heavy intensity shower rain|Moto|10
3|100|heavy shower rain and drizzle|Moto|10
3|100|heavy shower snow|Moto|0
3|100|heavy snow|Moto|0
3|100|heavy thunderstorm|Moto|0
3|100|light intensity drizzle|Moto|10
3|100|light intensity drizzle rain|Moto|10
3|100|light intensity shower rain|Moto|10
3|100|light rain|Moto|10
3|100|light rain and snow|Moto|0
3|100|light shower snow|Moto|0
3|100|light snow|Moto|0
3|100|light thunderstorm|Moto|10
3|100|mist|Moto|10
3|100|moderate rain|Moto|10
3|100|overcast clouds|Moto|40
3|100|ragged shower rain|Moto|10
3|100|ragged thunderstorm|Moto|10
3|100|rain|Moto|10
3|100|rain and snow|Moto|0
3|100|sand|Moto|10
3|100|"sand| dust whirls"|Moto|10
3|100|scattered clouds|Moto|50
3|100|shower drizzle|Moto|10
3|100|shower rain|Moto|10
3|100|shower rain and drizzle|Moto|10
3|100|shower sleet|Moto|10
3|100|shower snow|Moto|0
3|100|sleet|Moto|0
3|100|smoke|Moto|20
3|100|snow|Moto|0
3|100|squalls|Moto|0
