departamento_destino|departamento_origen|dia_habil|dia_nohabil|diferencia_horas|factor_ajuste|factor_ajuste_transmilenio|fe_total|hora_fin|hora_inicio|id_encuesta|latitud_destino|latitud_origen|longitud_destino|longitud_origen|medio_predominante|motivoviaje|municipio_destino|municipio_origen|numero_persona|numero_viaje|pi_k_i|pi_k_ii|pi_k_iii|pico_habil|pico_nohabil|ponderador_calibrado|ponderador_calibrado_viajes|tiempo_camino|valle_habil|valle_nohabil|zat_destino|zat_origen,
Bogota D.C.|Bogota D.C.|S||01:50:00|880038976470596|120293649023643|125934523809524|09:55:00|08:05:00|18390069|46502682159333|46130545936828|-74067594708128|-74190594818804|TPC-SITP|Tramites|BOGOTA-DC 11001|BOGOTA-DC 11001|2|1|320560606060606|392857142857143|1|||110827289435645|133318190576132|10|||238|566,
Bogota D.C.|Bogota D.C.|S||01:50:00|880038976470596|120293649023643|125934523809524|12:11:05|10:21:05|18390069|46130545936828|46502682159333|-74190594818804|-74067594708128|TPC-SITP|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|2|2|320560606060606|392857142857143|1|||110827289435645|133318190576132|10|S||566|238,
Bogota D.C.|Bogota D.C.|S||00:18:00|880038976470596|120293649023643|125934523809524|06:45:00|06:27:00|18390069|46156126809888|46130545936828|-74190138057954|-74190594818804|PEATON|Estudiar|BOGOTA-DC 11001|BOGOTA-DC 11001|3|1|320560606060606|392857142857143|1|S||110827289435645|133318190576132|10|||564|566,
Bogota D.C.|Bogota D.C.|S||00:55:00|880038976470596|120293649023643|125934523809524|09:41:27|08:46:27|18390069|46130545936828|46156126809888|-74190594818804|-74190138057954|PEATON|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|3|2|320560606060606|392857142857143|1|||110827289435645|133318190576132|10|||566|564,
Bogota D.C.|Bogota D.C.|S||01:32:00|62154082206328|120293649023643|653168859649123|09:19:00|07:47:00|18390891|46899883259617|46577642414013|-74065486185993|-74074829090851|MOTO|Trabajar|BOGOTA-DC 11001|BOGOTA-DC 11001|1|1|149295739348371|4375|1|||405971109972451|488357462167647|7|||138|227,
Bogota D.C.|Bogota D.C.|S||00:36:00|62154082206328|120293649023643|653168859649123|17:06:00|16:30:00|18390891|46577642414013|46899883259617|-74074829090851|-74065486185993|MOTO|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|1|2|149295739348371|4375|1|||405971109972451|488357462167647|7|||227|138,
Bogota D.C.|Bogota D.C.|S||00:36:00|62154082206328|120293649023643|653168859649123|17:06:00|16:30:00|18390891|46495623851774|46577642414013|-74065048167068|-74074829090851|PEATON|Estudiar|BOGOTA-DC 11001|BOGOTA-DC 11001|2|1|149295739348371|4375|1|||405971109972451|488357462167647|20|||239|227,
Bogota D.C.|Bogota D.C.|S||00:45:36|62154082206328|120293649023643|653168859649123|19:31:42|18:46:06|18390891|46577642414013|46495623851774|-74074829090851|-74065048167068|PEATON|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|2|2|149295739348371|4375|1|||405971109972451|488357462167647|20|||227|239,
Bogota D.C.|Bogota D.C.||S|01:00:00|63824667536148|120293649023643|925401993355482|11:50:00|10:50:00|18391017|46371862863255|46085647688779|-74118808629596|-74172809896978|ESPECIAL|Asuntos de Trabajo|BOGOTA-DC 11001|BOGOTA-DC 11001|1|1|157995462280204|585714285714286|1|||590634745632022|71049608792227|0||S|385|546,
Bogota D.C.|Bogota D.C.||S|01:00:00|63824667536148|120293649023643|925401993355482|17:20:00|16:20:00|18391017|46085647688779|46371862863255|-74172809896978|-74118808629596|ESPECIAL|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|1|2|157995462280204|585714285714286|1|||590634745632022|71049608792227|25|||546|385,
Bogota D.C.|Bogota D.C.||S|01:07:00|63824667536148|120293649023643|925401993355482|11:58:00|10:51:00|18391017|46371862863255|46085647688779|-74118808629596|-74172809896978|TPC-SITP|Asuntos de Trabajo|BOGOTA-DC 11001|BOGOTA-DC 11001|2|1|157995462280204|585714285714286|1|||590634745632022|71049608792227|5||S|385|546,
Bogota D.C.|Bogota D.C.||S|01:07:00|63824667536148|120293649023643|925401993355482|17:35:00|16:28:00|18391017|46085647688779|46371862863255|-74172809896978|-74118808629596|TPC-SITP|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|2|2|157995462280204|585714285714286|1||S|590634745632022|71049608792227|10|||546|385,
Bogota D.C.|Bogota D.C.||S|00:40:00|63824667536148|120293649023643|925401993355482|11:26:00|10:46:00|18391017|4613845104254|46085647688779|-74176593561814|-74172809896978|PEATON|Estudiar|BOGOTA-DC 11001|BOGOTA-DC 11001|3|1|157995462280204|585714285714286|1|||590634745632022|71049608792227|0||S|548|546,
Bogota D.C.|Bogota D.C.||S|00:45:00|63824667536148|120293649023643|925401993355482|19:00:00|18:15:00|18391017|46085647688779|4613845104254|-74172809896978|-74176593561814|PEATON|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|3|2|157995462280204|585714285714286|1||S|590634745632022|71049608792227|0|||546|548,
Bogota D.C.|Bogota D.C.||S|01:03:00|134054047747945|120293649023643|63471|11:47:00|10:44:00|18391018|461541151502|46105477030688|-741661401749|-74209994598705|PEATON|Recibir atencion en salud|BOGOTA-DC 11001|BOGOTA-DC 11001|1|1|401715189873418|158|1|||85085444646098|102352386152783|15||S|534|570,
